runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
2398.961,279.08942,282.37488,-7.345365e-21,0.00017881393,-6.19323e+06,-4.398111e+06,-5.9015045,-2.4764993,0.0004261732
2298.1797,279.11334,283.2552,-7.345365e-21,-4.7704902e-17,-6.424766e+06,-4.379359e+06,-6.842107,-2.5690842,0.0
2117.25,281.39777,284.1457,-7.345365e-21,0.00044703484,-6.040636e+06,-4.069799e+06,-6.090775,-2.415481,0.0025734608
1926.6172,286.83118,288.91705,-7.345365e-21,0.06386638,-3.258446e+06,-1.450833e+06,-3.5450907,-1.3029612,0.19177198
1779.9766,289.76074,291.62683,-7.345365e-21,0.035077333,-2.870952e+06,-476612.0,-1.8321425,-1.1480125,1.4189243
1735.2734,283.56958,287.21564,-7.345365e-21,0.1335144,-2.199006e+06,-525778.0,-1.5512109,-0.8793212,2.4504514
1851.2031,281.54742,284.11072,-7.345365e-21,0.30052662,-2.123296e+06,-161018.0,-0.8791238,-0.84904677,6.2046585
2053.0312,280.6369,284.46838,-7.345365e-21,0.00017881393,-5.509408e+06,-3.535917e+06,-5.0316305,-2.2030575,0.0004351138
2244.4375,277.43555,284.7741,-7.345365e-21,-4.2934413e-17,-5.199458e+06,-2.772196e+06,-5.5627265,-2.079117,0.0
2611.2812,282.93927,283.2324,-7.345365e-21,0.40701032,-2.143652e+06,-796437.0,-0.8749366,-0.8571865,5.0872674
3425.2812,283.307,283.58612,-7.345365e-21,0.40590763,-1.56848e+06,-545348.0,-0.6440431,-0.6271917,5.0347
4012.1562,280.73355,283.94855,-7.345365e-21,0.013023615,-2.696128e+06,-867150.0,-1.7004348,-1.0781056,8.057788
3840.5625,280.37976,283.35095,-7.345365e-21,2.9802322e-05,-5.659118e+06,-3.953334e+06,-5.5267105,-2.262923,0.0017195939
3451.2969,280.43646,282.6488,-7.345365e-21,0.00011920929,-5.587832e+06,-4.679232e+06,-5.556073,-2.2344174,0.0004276632
3216.3281,280.82434,283.04697,-7.345365e-21,2.9802322e-05,-5.61325e+06,-4.788515e+06,-5.765222,-2.2445824,0.0004351138
3180.7188,283.01944,285.7657,-7.345365e-21,-4.7704902e-17,-5.838638e+06,-3.950757e+06,-5.67339,-2.3347085,0.0
3135.5781,280.81882,285.14484,-7.345365e-21,-4.5536498e-17,-6.225146e+06,-4.195606e+06,-6.32149,-2.4892614,0.0
3014.0312,281.37402,285.3455,-7.345365e-21,-4.5536498e-17,-5.757496e+06,-3.165682e+06,-5.494714,-2.302261,0.058963895
2778.8594,280.85535,283.36462,-7.345365e-21,2.9802322e-05,-5.591172e+06,-3.687946e+06,-4.9856005,-2.2357526,0.00042914826
2534.7188,284.32416,286.25342,-7.345365e-21,0.27540326,-5.70139e+06,-3.33e+06,-5.710326,-2.2798254,0.6638929
2418.5469,281.9283,286.83023,-7.345365e-21,-3.6862877e-17,-7.170492e+06,-3.895573e+06,-6.381724,-2.8672786,0.0001937151
