runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
4128.414,278.5152,283.953,-7.345365e-21,0.00014901161,-6.513912e+06,-4.452269e+06,-5.0865264,-2.6047313,0.0004261732
4369.8047,278.4532,284.19073,-7.345365e-21,-4.7704902e-17,-6.14642e+06,-4.381542e+06,-4.4754667,-2.4577818,0.0
4202.8516,281.08722,284.34296,-7.345365e-21,0.0005066395,-5.835862e+06,-4.17734e+06,-3.9096773,-2.3335981,0.0025734608
3737.6484,286.97766,288.7237,-7.345365e-21,0.0065863132,-3.414468e+06,-2.013586e+06,-2.4349167,-1.3653506,0.022017956
3271.2266,289.80957,290.9452,-7.345365e-21,0.007659197,-2.896484e+06,-962771.0,-1.9720123,-1.1582235,0.41217208
2936.5625,284.44458,287.73517,-7.345365e-21,0.13905764,-2.138294e+06,-792231.0,-1.4147758,-0.855044,0.785485
2789.1797,280.1353,283.77087,-7.345365e-21,0.17994642,-1.911974e+06,-287904.0,-1.6066022,-0.7645451,1.302594
2887.2656,279.8576,285.46643,-7.345365e-21,0.00017881393,-5.374936e+06,-3.631661e+06,-4.6230106,-2.1492867,0.0004351138
3082.9531,279.3457,286.50067,-7.345365e-21,-4.2934413e-17,-5.201576e+06,-3.215847e+06,-4.4266768,-2.0799646,0.0
3434.6094,282.29083,283.5234,-7.345365e-21,0.33295155,-1.947356e+06,-1.02079e+06,-1.3771355,-0.7786928,1.7735398
4795.5938,282.88904,283.75018,-7.345365e-21,0.33190846,-1.60395e+06,-589390.0,-0.656046,-0.6413748,8.336589
6873.5156,282.38004,283.8216,-7.345365e-21,0.20617247,-2.383948e+06,-1.021085e+06,-0.97858536,-0.95327383,11.860281
7402.0625,279.86218,283.70056,-7.345365e-21,5.9604645e-05,-4.811662e+06,-3.278353e+06,-3.545765,-1.9240491,0.0017195939
6836.828,281.41498,282.8617,-7.345365e-21,0.00020861626,-5.608532e+06,-4.679146e+06,-3.7428477,-2.2426956,0.0004276632
6221.2344,281.05676,283.0704,-7.345365e-21,2.9802322e-05,-5.693868e+06,-4.765119e+06,-3.7663505,-2.2768192,0.0004351138
5967.172,281.6464,286.2442,-7.345365e-21,-4.7704902e-17,-5.959832e+06,-4.144606e+06,-4.0449314,-2.3831706,0.0
5871.1562,281.9243,284.69952,-7.345365e-21,-4.5536498e-17,-6.260988e+06,-4.186168e+06,-4.5715494,-2.5035934,0.0
5663.7344,279.68457,285.47244,-7.345365e-21,-4.5536498e-17,-6.035998e+06,-3.789403e+06,-4.624814,-2.4136276,0.0
5216.0,281.0741,284.09705,-7.345365e-21,2.9802322e-05,-5.768042e+06,-3.90174e+06,-4.0951,-2.306478,0.00042914826
4706.9844,284.2597,287.93896,-7.345365e-21,0.040888786,-5.763008e+06,-3.735125e+06,-3.792748,-2.3044665,0.091293454
