runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
4128.297,279.41754,283.21863,-7.345365e-21,0.00017881393,-6.186506e+06,-4.507473e+06,-4.609797,-2.4738107,0.0004261732
4345.4453,279.19928,283.23956,-7.345365e-21,-4.7704902e-17,-5.97726e+06,-4.464034e+06,-4.204541,-2.3901389,0.0
4107.9375,281.89972,284.20233,-7.345365e-21,0.00047683716,-5.524404e+06,-4.266178e+06,-3.629297,-2.2090542,0.0025734608
3622.6328,285.76477,288.55963,-7.345365e-21,0.03296137,-3.288918e+06,-1.938572e+06,-2.3647509,-1.3151467,0.09253025
3170.1094,290.1045,290.57605,-7.345365e-21,0.021249056,-2.626856e+06,-941388.0,-1.4765933,-1.050407,1.3971388
2863.875,285.09888,288.5379,-7.345365e-21,0.13920665,-1.567672e+06,-581014.0,-0.9217635,-0.6268681,0.8823575
2764.586,280.76617,283.85095,-7.345365e-21,0.17508864,-2.176492e+06,-271299.0,-1.0407157,-0.8703182,4.071841
2904.4375,280.64862,285.17346,-7.345365e-21,0.00017881393,-5.372956e+06,-3.691747e+06,-4.2112694,-2.1484942,0.0004351138
3101.1875,279.4453,286.68036,-7.345365e-21,-4.2934413e-17,-5.195368e+06,-3.237947e+06,-4.0309095,-2.0774827,0.0
3498.2031,282.59747,283.63864,-7.345365e-21,0.2744794,-2.033772e+06,-960125.0,-0.85603446,-0.8132486,2.7063525
5045.703,283.22498,284.0744,-7.345365e-21,0.2734363,-1.477772e+06,-681106.0,-0.61585754,-0.5909195,6.6331997
6997.5156,282.39957,284.43488,-7.345365e-21,0.046640635,-2.11771e+06,-1.160737e+06,-0.990618,-0.8468125,9.698927
7310.8594,280.3446,283.80408,-7.345365e-21,5.9604645e-05,-4.72129e+06,-3.804556e+06,-3.5137572,-1.8879119,0.0017195939
6670.0625,281.11224,282.65466,-7.345365e-21,0.00029802322,-5.319252e+06,-4.896129e+06,-3.5036466,-2.127021,0.0004276632
6074.375,280.67395,282.5587,-7.345365e-21,0.00011920929,-5.463672e+06,-4.88795e+06,-3.7511103,-2.1847692,0.0004351138
5851.453,282.50577,286.42584,-7.345365e-21,-4.7704902e-17,-5.761122e+06,-4.222425e+06,-3.938906,-2.3037121,0.0
5766.0156,281.94186,284.3753,-7.345365e-21,-4.5536498e-17,-6.04539e+06,-4.279197e+06,-4.4501276,-2.4173818,0.0
5543.9844,280.3252,285.60135,-7.345365e-21,-4.5536498e-17,-5.79667e+06,-3.713471e+06,-4.368909,-2.317927,0.0
5075.328,280.70886,284.04626,-7.345365e-21,2.9802322e-05,-5.492668e+06,-3.823021e+06,-3.81127,-2.196365,0.00042914826
4561.672,284.9843,287.65967,-7.345365e-21,0.09179115,-5.52434e+06,-3.678726e+06,-3.676288,-2.2090292,0.20519793
4216.6562,284.30917,287.2853,-7.345365e-21,0.0003874302,-5.943432e+06,-3.608425e+06,-3.7898383,-2.3766131,0.018700957
4036.5469,283.838,288.0819,-7.345365e-21,0.00032782555,-6.303674e+06,-4.330988e+06,-4.385527,-2.5206628,0.00085234636
3918.125,283.7392,289.2992,-7.345365e-21,-4.6837537e-17,-5.806052e+06,-3.657619e+06,-4.0916615,-2.3216772,0.0
3790.0625,287.09546,288.89355,-7.345365e-21,0.012636185,-3.094634e+06,-1.521778e+06,-2.4913325,-1.2374576,0.14989823
3616.8906,288.63275,290.2044,-7.345365e-21,0.00017881393,-4.347106e+06,-2.498548e+06,-3.0074046,-1.7382857,0.00872463
3535.5469,288.96143,291.21375,-7.345365e-21,0.007927418,-4.444714e+06,-2.853917e+06,-3.1181686,-1.7773174,0.39551407
3959.5312,288.9737,291.27145,-7.345365e-21,0.024497509,-3.841604e+06,-2.312081e+06,-2.7026422,-1.5361505,0.53607225
5091.7812,288.7115,291.10486,-7.345365e-21,0.05814433,-2.928972e+06,-1.383849e+06,-2.0242407,-1.1712145,0.37883222
6259.5938,282.7149,285.85727,-7.345365e-21,0.10666251,-2.205586e+06,-644090.0,-1.274936,-0.8819522,1.2340426
6698.047,277.92337,282.65372,-7.345365e-21,0.05468726,-2.12346e+06,-505687.0,-1.5285611,-0.8491119,0.97575784
6403.5938,278.104,283.2967,-7.345365e-21,0.003606081,-2.101544e+06,-1.020444e+06,-2.1968336,-0.84034914,0.0693351
6108.9688,281.03662,285.27173,-7.345365e-21,0.00020861626,-3.785582e+06,-2.500632e+06,-3.405124,-1.5137484,0.0010073185
6146.4844,284.0843,287.16513,-7.345365e-21,-4.6837537e-17,-3.64074e+06,-2.164985e+06,-2.9685981,-1.4558305,0.0007301569
6226.0625,283.8383,287.84396,-7.345365e-21,0.008881092,-1.626852e+06,-919262.0,-1.5733875,-0.65053254,0.072553754
5936.0,278.03915,283.01837,-7.345365e-21,0.05787611,-1.961396e+06,-577005.0,-1.2885891,-0.7843077,0.9871274
5282.9375,275.77182,282.22925,-7.345365e-21,0.04157424,-1.809074e+06,-838870.0,-2.3017228,-0.72339827,0.22696257
4540.3906,279.12543,283.27997,-7.345365e-21,-2.3418772e-17,-5.43402e+06,-4.414167e+06,-4.278645,-2.1729124,0.0
3878.4531,281.78088,285.73047,-7.345365e-21,0.0006556511,-1.661434e+06,-936760.0,-1.4102683,-0.6643608,0.008755829
3334.2812,278.4154,284.90158,-7.345365e-21,-2.4069295e-17,-6.363258e+06,-4.431408e+06,-5.658992,-2.5444887,0.0004351138
2900.6875,278.87952,285.63043,-7.345365e-21,0.00032782555,-6.087962e+06,-4.220562e+06,-5.152635,-2.434405,0.0008523463
2580.25,279.45682,286.78418,-7.345365e-21,0.005185604,-2.368414e+06,-1.113735e+06,-2.2804663,-0.9470619,0.012785196
2423.625,281.99063,285.01678,-7.345365e-21,0.0024735928,-1.242386e+06,-998932.0,-1.0735466,-0.49679494,0.11609704
2366.3906,283.24377,287.84055,-7.345365e-21,-2.4069295e-17,-5.426212e+06,-4.136061e+06,-4.148632,-2.1697898,0.0004261732
2326.7812,283.77252,289.40796,-7.345365e-21,0.0006556511,-2.462334e+06,-1.361196e+06,-2.1884031,-0.9846184,0.0031650066
2296.4375,286.87698,287.29926,-7.345365e-21,0.2541542,-1.867062e+06,-717935.0,-0.7465854,-0.7465864,15.147458
2282.8125,289.3938,290.12512,-7.345365e-21,0.0018179417,-4.288652e+06,-2.025903e+06,-2.760019,-1.7149123,0.04580617
