runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
2360.586,279.3941,283.05652,-7.345365e-21,0.00017881393,-5.433036e+06,-4.516621e+06,-3.9037988,-2.1725185,0.0004261732
2257.0625,279.52155,283.4544,-7.345365e-21,-4.7704902e-17,-5.277998e+06,-4.639993e+06,-3.5392642,-2.1105242,0.0
2078.6719,282.24347,285.38593,-7.345365e-21,0.0004172325,-5.164046e+06,-4.358475e+06,-3.6786273,-2.0649574,0.0025734608
1893.0938,288.00696,290.06354,-7.345365e-21,0.040352345,-2.576274e+06,-1.545992e+06,-2.263803,-1.0301796,0.15667975
1753.0938,290.54785,292.3866,-7.345365e-21,0.042706728,-1.837624e+06,-649093.0,-1.3448559,-0.73481447,0.5355239
1719.6172,281.96606,286.58087,-7.345365e-21,0.038564205,-1.89255e+06,-545268.0,-1.3025179,-0.75677735,3.6655664
1851.5078,280.53766,283.40173,-7.345365e-21,0.118136406,-2.019096e+06,-84713.0,-0.85683537,-0.8073803,5.566427
2052.0938,278.53925,284.43713,-7.345365e-21,0.00017881393,-4.611428e+06,-3.545521e+06,-3.560975,-1.8439823,0.0004351138
2243.0781,277.95312,284.25458,-7.345365e-21,0.010967255,-4.337658e+06,-2.705039e+06,-3.8644783,-1.7345082,0.026732683
2626.5781,282.29865,282.88474,-7.345365e-21,0.2399087,-1.822734e+06,-850140.0,-0.73147565,-0.7288605,6.02461
3443.2031,282.91443,283.41034,-7.345365e-21,0.23889542,-1.15133e+06,-615140.0,-0.460878,-0.46038443,3.7891567
3985.0625,280.5226,284.16534,-7.345365e-21,0.0017881393,-1.917122e+06,-860151.0,-1.2490898,-0.7666042,3.623724
3783.4219,279.43054,283.48962,-7.345365e-21,5.9604645e-05,-4.878724e+06,-4.203552e+06,-4.012581,-1.9508656,0.0017195939
3393.8906,279.65912,282.96912,-7.345365e-21,8.940697e-05,-4.920228e+06,-4.823875e+06,-3.713984,-1.9674618,0.0004276632
3160.3438,280.46692,282.5079,-7.345365e-21,0.00020861626,-4.837252e+06,-5.051717e+06,-3.1156242,-1.9342816,0.0004351138
3130.3906,281.75577,286.9903,-7.345365e-21,-4.7704902e-17,-5.08343e+06,-4.014984e+06,-3.6065803,-2.0327215,0.0
3084.0625,282.1567,284.36163,-7.345365e-21,-4.5536498e-17,-5.260588e+06,-4.502944e+06,-3.5372376,-2.1035616,0.0
2963.4062,280.30762,286.36307,-7.345365e-21,-4.5536498e-17,-5.006274e+06,-3.383702e+06,-3.839679,-2.0018685,0.08562207
2728.5,280.93347,284.1986,-7.345365e-21,2.9802322e-05,-4.798974e+06,-4.01849e+06,-3.3238902,-1.9189762,0.00042914826
2487.6719,284.8222,287.06592,-7.345365e-21,0.16406178,-4.808656e+06,-3.507436e+06,-3.3380463,-1.9228468,0.46906024
2376.5156,282.51035,286.79312,-7.345365e-21,-3.6862877e-17,-5.953112e+06,-4.273744e+06,-4.555464,-2.380483,0.0
2392.8594,284.4298,287.8866,-7.345365e-21,0.00032782555,-5.822802e+06,-4.574198e+06,-4.205089,-2.3283763,0.00085234636
2390.2969,284.51263,290.34998,-7.345365e-21,2.9802322e-05,-4.521522e+06,-2.920348e+06,-3.921751,-1.8080297,0.0028908253
2349.0938,287.3728,291.44824,-7.345365e-21,0.007688999,-3.132988e+06,-1.639648e+06,-3.2894275,-1.2527946,0.36914647
2247.4531,288.664,289.5091,-7.345365e-21,0.0006854534,-2.762324e+06,-1.946524e+06,-2.1592155,-1.1045765,0.0068321824
2097.8281,289.0708,290.62585,-7.345365e-21,0.016629696,-4.168492e+06,-2.867377e+06,-3.183488,-1.6668625,0.6336719
