runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
5367.9062,279.40973,282.1991,-7.345365e-21,0.00017881393,-6.073044e+06,-4.428411e+06,-4.659228,-2.4284403,0.0004261732
5361.0234,278.44342,282.18292,-7.345365e-21,-4.7704902e-17,-5.823412e+06,-4.337356e+06,-4.345536,-2.3286195,0.0
5130.4688,281.1087,283.90936,-7.345365e-21,0.0005662441,-5.821622e+06,-4.196849e+06,-4.558362,-2.3279042,0.0025734608
4590.2344,286.89954,289.4151,-7.345365e-21,0.018119812,-3.657672e+06,-1.883886e+06,-3.0732193,-1.4626012,0.04863143
4055.2031,290.6123,291.12097,-7.345365e-21,0.10177493,-2.691708e+06,-863143.0,-2.0661764,-1.0763397,0.5712569
3798.2266,283.22974,287.3797,-7.345365e-21,0.08895993,-3.693114e+06,-1.25872e+06,-2.5187879,-1.4767735,0.6233306
3725.336,280.05914,284.5287,-7.345365e-21,0.042915344,-2.328162e+06,-462410.0,-1.7776638,-0.9309668,0.49729052
3665.9844,281.10175,284.49377,-7.345365e-21,0.00017881393,-5.589836e+06,-3.637359e+06,-4.622266,-2.235219,0.0004351138
3814.2812,280.49805,285.18427,-7.345365e-21,-4.2934413e-17,-5.38844e+06,-3.358647e+06,-4.39455,-2.1546865,0.0
4313.0312,281.00372,284.06052,-7.345365e-21,0.1655221,-2.621556e+06,-1.378076e+06,-2.3158863,-1.0482874,0.75155854
6207.172,283.29724,283.92206,-7.345365e-21,0.5136728,-1.800116e+06,-731087.0,-0.74510646,-0.7198155,5.2312016
8670.891,283.3488,283.9212,-7.345365e-21,0.5121827,-1.911332e+06,-951778.0,-0.764288,-0.764288,21.551014
9238.1875,280.23523,283.7611,-7.345365e-21,0.00017881393,-4.870218e+06,-2.510409e+06,-3.413584,-1.9474635,0.0018984078
8529.422,280.4228,281.78357,-7.345365e-21,0.0005364418,-5.734942e+06,-4.706992e+06,-4.0045047,-2.2932427,0.0004276632
7838.375,280.172,281.53134,-7.345365e-21,0.00059604645,-5.66651e+06,-4.825088e+06,-3.7851446,-2.265878,0.0004351138
7689.6875,282.54678,284.7032,-7.345365e-21,-4.7704902e-17,-5.964258e+06,-4.23579e+06,-4.169941,-2.3849401,0.0
7616.4844,280.53952,283.0257,-7.345365e-21,-4.5536498e-17,-6.22214e+06,-4.179701e+06,-4.4329615,-2.48806,0.0
7316.4688,279.7744,284.71854,-7.345365e-21,-4.5536498e-17,-6.184956e+06,-3.945353e+06,-4.665926,-2.4731913,0.0
6631.8438,279.24988,283.14392,-7.345365e-21,5.9604645e-05,-6.173444e+06,-4.277331e+06,-4.6537595,-2.468587,0.00042914826
5983.125,282.40228,286.62256,-7.345365e-21,0.00333786,-5.939074e+06,-4.008158e+06,-4.3373404,-2.3748698,0.007921457
5738.9375,283.89706,286.0314,-7.345365e-21,-3.6862877e-17,-6.411742e+06,-3.505492e+06,-4.302688,-2.5638762,0.0
5669.4375,280.95715,285.29285,-7.345365e-21,0.0003874302,-6.76236e+06,-4.555022e+06,-5.0670094,-2.7040784,0.00085234636
5505.4844,280.34662,287.19373,-7.345365e-21,-4.6837537e-17,-6.68118e+06,-4.442626e+06,-5.4892488,-2.671616,0.0
5283.0,287.0818,289.82324,-7.345365e-21,0.007122755,-3.517404e+06,-1.413844e+06,-3.2024906,-1.4065113,0.2065748
