runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
4501.6562,279.20074,282.15613,-7.345365e-21,0.00017881393,-6.177402e+06,-4.462424e+06,-4.15859,-2.4701703,0.0004261732
4667.8203,278.60553,282.3509,-7.345365e-21,-4.7704902e-17,-6.008772e+06,-4.397946e+06,-3.9071367,-2.4027405,0.0
4564.1016,281.43097,284.54803,-7.345365e-21,0.0005066395,-6.018936e+06,-4.23797e+06,-4.028,-2.4068038,0.0025734608
4116.211,287.18665,289.68073,-7.345365e-21,0.0179708,-3.654126e+06,-1.926083e+06,-2.7190485,-1.4611827,0.052922964
3626.6172,290.83887,291.45496,-7.345365e-21,0.07048249,-2.67076e+06,-961099.0,-1.8717908,-1.0679625,0.4353881
3283.3672,283.33716,287.99884,-7.345365e-21,0.05352497,-3.598862e+06,-1.381117e+06,-2.3646207,-1.4390843,0.3183336
3069.5938,280.32672,284.80212,-7.345365e-21,0.03990531,-1.853112e+06,-485948.0,-1.5523918,-0.7410068,0.50162673
3056.7031,281.3615,284.5641,-7.345365e-21,0.00017881393,-5.579032e+06,-3.682e+06,-4.2017884,-2.2308993,0.0004351138
3222.2656,280.67773,285.21747,-7.345365e-21,-4.2934413e-17,-5.336258e+06,-3.363309e+06,-3.9409957,-2.1338193,0.0
3566.9688,281.117,284.14255,-7.345365e-21,0.16734004,-2.469108e+06,-1.408153e+06,-2.0270495,-0.98732674,0.7281786
4990.4844,283.33435,284.0119,-7.345365e-21,0.43860078,-1.711676e+06,-748534.0,-0.7009953,-0.68445134,5.7016535
7322.2812,283.44058,284.06183,-7.345365e-21,0.43666363,-1.828392e+06,-968724.0,-0.7311218,-0.7311236,19.69181
8105.6875,280.3778,283.7826,-7.345365e-21,0.00014901161,-4.889964e+06,-2.601745e+06,-3.148798,-1.9553602,0.0049307942
7595.7656,280.50287,281.84802,-7.345365e-21,0.00062584877,-5.88451e+06,-4.750132e+06,-3.652092,-2.3530507,0.0004276632
6992.2656,280.21106,281.5118,-7.345365e-21,0.0005066395,-5.813122e+06,-4.855191e+06,-3.4468622,-2.3245049,0.0004351138
6793.25,282.70108,284.63678,-7.345365e-21,-4.7704902e-17,-6.050386e+06,-4.332473e+06,-3.6941097,-2.4193804,0.0
6689.203,280.46725,283.11945,-7.345365e-21,-4.5536498e-17,-6.379916e+06,-4.229961e+06,-4.0520506,-2.5511506,0.0
6408.6094,280.24707,284.83377,-7.345365e-21,-4.5536498e-17,-6.300304e+06,-4.01107e+06,-4.178241,-2.519315,0.0
5878.9375,279.43347,282.9447,-7.345365e-21,5.9604645e-05,-6.309992e+06,-4.32221e+06,-4.010506,-2.5231893,0.00042914826
5326.828,283.498,286.79443,-7.345365e-21,0.0045895576,-6.05799e+06,-4.074685e+06,-3.6723242,-2.4224203,0.01090914
4990.4688,284.1666,286.41812,-7.345365e-21,-3.6862877e-17,-6.49815e+06,-3.547137e+06,-3.9648452,-2.5984282,0.0
4800.0156,280.25793,286.27136,-7.345365e-21,0.00032782555,-6.986628e+06,-4.588276e+06,-4.657913,-2.7937572,0.00085234636
4665.2812,280.47552,287.44373,-7.345365e-21,-4.6837537e-17,-6.80995e+06,-4.459677e+06,-4.914612,-2.723108,0.0
4523.0312,287.2517,290.21387,-7.345365e-21,0.002115965,-3.713646e+06,-1.554573e+06,-3.1210742,-1.4849827,0.120162964
4269.6562,287.59174,290.56183,-7.345365e-21,0.0020861626,-5.136738e+06,-2.51833e+06,-3.46978,-2.0540376,0.05209446
4075.7188,288.45947,290.60046,-7.345365e-21,0.022679567,-5.05218e+06,-2.632341e+06,-3.389336,-2.0202258,0.5012974
4917.2812,288.28815,290.8398,-7.345365e-21,0.021636486,-3.761522e+06,-2.104657e+06,-2.4771354,-1.5041269,0.5311623
7572.5,286.93414,291.05017,-7.345365e-21,0.04798174,-4.097538e+06,-1.466865e+06,-3.3399537,-1.6384916,0.19533932
9840.906,282.52936,286.4686,-7.345365e-21,0.0500381,-2.503508e+06,-879885.0,-1.993224,-1.0010824,0.48289
9930.6875,277.69485,283.06583,-7.345365e-21,0.010281801,-2.1436e+06,-869977.0,-2.159573,-0.857166,0.10049343
9134.125,278.85205,283.94904,-7.345365e-21,-4.8138583e-17,-3.28363e+06,-1.838185e+06,-2.9607751,-1.3130317,0.0014305115
8537.547,281.9546,284.79517,-7.345365e-21,0.00017881393,-3.693002e+06,-2.452094e+06,-3.1152666,-1.4767283,0.0007018447
8142.2188,284.8792,288.82138,-7.345365e-21,-4.6837537e-17,-4.680044e+06,-2.777748e+06,-3.4806988,-1.8714192,0.0
7776.3594,283.0375,287.49435,-7.345365e-21,0.0022351742,-2.558116e+06,-1.537935e+06,-2.3044832,-1.022919,0.006906688
7290.047,278.6954,282.39142,-7.345365e-21,0.20006299,-1.83752e+06,-567691.0,-1.4406182,-0.73477256,1.1654049
6499.9844,275.93784,282.76636,-7.345365e-21,0.04184246,-2.630184e+06,-1.019078e+06,-2.6428998,-1.0517379,0.11457801
5577.203,279.29535,283.87958,-7.345365e-21,-2.3418772e-17,-5.486118e+06,-4.417569e+06,-4.249811,-2.1937451,0.0
4728.625,281.55432,285.0918,-7.345365e-21,0.010460615,-1.598466e+06,-867099.0,-1.2920052,-0.6391816,0.08072844
4023.2969,278.81775,284.38205,-7.345365e-21,2.9802322e-05,-6.341744e+06,-4.512901e+06,-5.501166,-2.5358865,0.0004351138
3455.9375,279.9264,285.18512,-7.345365e-21,0.00035762787,-6.11124e+06,-4.47459e+06,-5.042948,-2.4437141,0.0008523463
3013.4844,279.27713,287.02246,-7.345365e-21,0.0011920929,-3.034724e+06,-1.671027e+06,-2.7597435,-1.2135012,0.0028312206
2725.2344,282.37735,285.96796,-7.345365e-21,0.0030398369,-1.27771e+06,-835768.0,-1.3216212,-0.5109203,0.06647617
2607.2188,282.99182,288.3503,-7.345365e-21,-2.4069295e-17,-5.31372e+06,-4.03795e+06,-4.244827,-2.1248078,0.0004261732
2550.2031,280.61432,289.50952,-7.345365e-21,0.00023841858,-5.452896e+06,-2.714745e+06,-4.9472637,-2.18046,0.0008702277
2498.2656,287.57816,288.01605,-7.345365e-21,0.3786087,-2.419678e+06,-646463.0,-1.011543,-0.96756124,9.136471
2471.1094,289.42114,289.89465,-7.345365e-21,0.00500679,-4.361378e+06,-2.390818e+06,-2.654083,-1.7439928,0.0936538
2466.9219,288.9455,290.91605,-7.345365e-21,2.9802322e-05,-5.496468e+06,-2.748991e+06,-3.61868,-2.1978831,0.10122657
2467.2031,290.75308,292.3214,-7.345365e-21,0.24396181,-5.162742e+06,-2.573982e+06,-3.288865,-2.0644357,1.1485666
2441.5625,288.17816,292.96432,-7.345365e-21,0.0002682209,-4.946034e+06,-1.40953e+06,-3.5283864,-1.9777808,0.55273175
2398.6094,289.46155,291.6092,-7.345365e-21,0.19687414,-4.280698e+06,-1.15559e+06,-2.9512346,-1.7117318,1.971814
2349.5625,290.59576,292.32336,-7.345365e-21,0.22491813,-4.4053e+06,-1.23788e+06,-3.029965,-1.7615557,1.1553466
2319.4688,291.78156,292.4923,-7.345365e-21,0.38006902,-5.14544e+06,-1.571879e+06,-2.7678237,-2.0575178,7.2202773
2352.2656,292.6081,292.88995,-7.345365e-21,0.38060546,-3.05784e+06,-759627.0,-1.6473606,-1.2227446,4.863918
2513.4219,292.7492,292.9692,-7.345365e-21,0.23439527,-4.642904e+06,-1.477894e+06,-2.482921,-1.8565674,2.5397837
2718.5625,292.1526,294.15088,-7.345365e-21,0.023186207,-4.92574e+06,-1.672005e+06,-2.6494412,-1.9696653,1.923418
2880.5781,292.5998,294.979,-7.345365e-21,0.05567074,-7.378492e+06,-2.102531e+06,-4.3859706,-2.9504523,0.8398652
2932.8281,292.87793,294.8404,-7.345365e-21,0.19821525,-7.026729e+06,-2.241721e+06,-4.252177,-2.8097928,1.0628849
2882.3906,291.6615,296.1857,-7.345365e-21,0.0012516975,-7.660144e+06,-1.873382e+06,-5.2271376,-3.063078,0.35684407
2794.1406,288.37274,291.63574,-7.345365e-21,0.3838241,-6.480938e+06,-1.577447e+06,-3.8278475,-2.5915456,2.8671474
2678.9375,280.20395,285.43747,-7.345365e-21,0.04416704,-3.009536e+06,-648617.0,-2.1632724,-1.2034299,0.2495423
2548.6406,287.60397,289.21313,-7.345365e-21,0.20292401,-2.809536e+06,-515549.0,-1.4600232,-1.1234549,1.299411
2408.8125,284.64972,286.69855,-7.345365e-21,0.23156404,-2.291932e+06,-317570.0,-0.9520166,-0.9164792,5.7044506
2286.5781,286.58453,287.20795,-7.345365e-21,0.38594007,-2.49453e+06,-358246.0,-1.0000243,-0.997493,5.4713964
2200.1719,287.24768,287.7793,-7.345365e-21,0.38647652,-1.603852e+06,-266708.0,-0.6413534,-0.6413357,10.954678
2152.3438,283.93765,284.88425,-7.345365e-21,0.3860891,-2.616934e+06,-443469.0,-1.0688603,-1.0464387,3.3718677
2134.7344,287.09772,287.93762,-7.345365e-21,0.20888448,-2.170906e+06,-587680.0,-1.0909401,-0.86808485,1.1301041
2131.2812,290.95984,291.72836,-7.345365e-21,0.0474751,-2.843e+06,-507372.0,-1.3896637,-1.1368366,1.2486726
