runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
2406.6406,279.02692,283.24597,-7.345365e-21,0.00017881393,-6.292116e+06,-4.378732e+06,-4.4539905,-2.5160406,0.0004261732
2315.4453,278.78326,283.23175,-7.345365e-21,-4.7704902e-17,-6.168446e+06,-4.312159e+06,-4.271917,-2.4665892,0.0
2137.6719,280.83527,283.91718,-7.345365e-21,0.0005066395,-5.514648e+06,-4.111369e+06,-3.5773814,-2.205153,0.0025734608
1945.8906,286.62024,288.2315,-7.345365e-21,0.06020069,-3.21103e+06,-1.671795e+06,-2.225846,-1.2840014,0.18521547
1794.0469,289.91113,290.49402,-7.345365e-21,0.04759431,-2.52466e+06,-640064.0,-1.3486743,-1.0095407,1.5350044
1738.4766,287.05396,288.86603,-7.345365e-21,0.29671192,-1.483436e+06,-546579.0,-0.7596016,-0.59318405,1.3031216
1839.5,281.55914,284.3568,-7.345365e-21,0.19016862,-2.198532e+06,-332213.0,-0.9249114,-0.8791303,5.198145
2039.7969,281.25018,284.80627,-7.345365e-21,0.00017881393,-5.666204e+06,-3.62961e+06,-4.167248,-2.2657561,0.0004351138
2231.9844,279.48828,286.0866,-7.345365e-21,-4.2934413e-17,-5.269866e+06,-3.05388e+06,-3.8363001,-2.107272,0.0
2576.4219,282.19513,283.4492,-7.345365e-21,0.3028214,-2.118304e+06,-926628.0,-0.8719787,-0.84705,3.164809
3370.875,283.29724,284.01776,-7.345365e-21,0.30115247,-1.496436e+06,-611807.0,-0.60753894,-0.5983831,6.145999
4001.5781,282.1652,284.4134,-7.345365e-21,0.03966689,-2.277826e+06,-1.109196e+06,-1.0895021,-0.9108391,8.552924
3868.3125,280.22546,283.74158,-7.345365e-21,5.9604645e-05,-5.010784e+06,-3.878731e+06,-3.5519786,-2.0036716,0.0017195939
3481.6875,280.31537,282.0609,-7.345365e-21,0.00023841858,-5.168184e+06,-4.84013e+06,-3.445085,-2.0666118,0.0004276632
3235.2031,280.76965,282.83994,-7.345365e-21,2.9802322e-05,-5.37775e+06,-4.785399e+06,-3.7134142,-2.1504116,0.0004351138
3192.0156,282.6913,285.83405,-7.345365e-21,-4.7704902e-17,-5.576584e+06,-4.070561e+06,-3.7869475,-2.2299206,0.0
