runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
4244.133,279.9449,283.1112,-7.345365e-21,0.00017881393,-6.515178e+06,-4.331649e+06,-4.493013,-2.605237,0.0004261732
4468.3438,279.92194,283.54816,-7.345365e-21,-4.7704902e-17,-6.105378e+06,-4.263176e+06,-4.1932015,-2.44137,0.0
4343.6016,281.5208,284.72968,-7.345365e-21,0.0005364418,-5.857332e+06,-4.049003e+06,-4.0138736,-2.342184,0.0025734608
3889.9297,287.70227,288.56158,-7.345365e-21,0.020235777,-3.43632e+06,-1.893276e+06,-2.431456,-1.3740883,0.055783987
3411.2422,290.8291,290.95496,-7.345365e-21,0.059098005,-2.654852e+06,-809775.0,-1.7470493,-1.0616007,0.41810274
3065.3516,283.42896,287.55743,-7.345365e-21,0.10961294,-2.789992e+06,-860076.0,-1.7906725,-1.1156402,0.61878574
2886.625,279.8443,284.45642,-7.345365e-21,0.10380149,-2.095144e+06,-379171.0,-1.8105731,-0.83778983,0.49600902
2947.8594,280.299,285.11487,-7.345365e-21,0.00017881393,-5.794528e+06,-3.463429e+06,-4.318863,-2.317069,0.0004351138
3143.1562,280.08008,286.0163,-7.345365e-21,-4.2934413e-17,-5.498066e+06,-3.147101e+06,-4.112687,-2.1985228,0.0
3480.6094,281.6053,283.9531,-7.345365e-21,0.30839443,-2.404006e+06,-1.147465e+06,-1.6819463,-0.9612944,1.2203938
4767.828,283.05896,283.91034,-7.345365e-21,0.44560432,-1.59157e+06,-627468.0,-0.6433949,-0.6364249,7.2969494
6915.4844,282.77066,283.8958,-7.345365e-21,0.4236102,-2.181344e+06,-990936.0,-0.8728951,-0.87225807,14.519125
7606.0,280.11023,283.7943,-7.345365e-21,0.00011920929,-5.02433e+06,-2.811802e+06,-3.29959,-2.009089,0.0017195939
7089.3906,280.8427,282.5531,-7.345365e-21,0.0003874302,-5.661856e+06,-4.577288e+06,-3.6613903,-2.2640173,0.0004276632
6458.4844,280.797,282.53915,-7.345365e-21,0.00044703484,-5.589658e+06,-4.673511e+06,-3.4953804,-2.2351482,0.0004351138
6184.5312,282.58585,285.73053,-7.345365e-21,-4.7704902e-17,-5.828312e+06,-4.101291e+06,-3.7883594,-2.3305788,0.0
6087.1406,281.94772,284.16827,-7.345365e-21,-4.5536498e-17,-6.344878e+06,-4.089238e+06,-4.1383133,-2.5371397,0.0
5875.3906,280.28418,285.29276,-7.345365e-21,-4.5536498e-17,-6.308862e+06,-3.773623e+06,-4.2773857,-2.5227377,0.0
5420.4844,280.7323,283.77283,-7.345365e-21,5.9604645e-05,-6.058146e+06,-4.010461e+06,-3.8987472,-2.4224837,0.00042914826
4909.7812,284.79877,287.40967,-7.345365e-21,0.018447638,-5.695548e+06,-3.727695e+06,-3.688231,-2.2774897,0.04286468
4584.3594,284.6705,287.32242,-7.345365e-21,-3.6862877e-17,-6.172392e+06,-3.303021e+06,-4.062977,-2.4681678,0.0
4386.0312,281.32825,287.74988,-7.345365e-21,0.00029802322,-6.759602e+06,-4.264408e+06,-4.700735,-2.7029757,0.00085234636
4226.8906,282.02826,288.08826,-7.345365e-21,-4.6837537e-17,-6.60716e+06,-4.036026e+06,-4.610516,-2.6420188,0.0
4077.0156,287.09937,289.8955,-7.345365e-21,0.0013709068,-4.030308e+06,-1.564969e+06,-3.1283946,-1.6116072,0.049494207
3871.4062,287.88275,291.1087,-7.345365e-21,0.0036358833,-5.109688e+06,-2.475556e+06,-3.412962,-2.0432212,0.036664307
3734.9219,288.70166,291.0868,-7.345365e-21,0.04634261,-5.079558e+06,-2.575959e+06,-3.3182614,-2.0311725,0.6951541
4257.3125,288.5323,291.2695,-7.345365e-21,0.012904406,-3.989476e+06,-2.095997e+06,-2.5796518,-1.5952802,0.5388513
5846.1562,288.024,291.20447,-7.345365e-21,0.16003847,-4.127272e+06,-1.455331e+06,-2.8982387,-1.6503808,0.53088367
7400.5938,281.75592,286.52133,-7.345365e-21,0.027656555,-2.76244e+06,-763968.0,-2.0584912,-1.1046231,0.24333894
7819.578,277.21243,283.0873,-7.345365e-21,0.011265278,-2.818474e+06,-773872.0,-2.3655295,-1.1270288,0.09536743
7414.3906,278.1001,283.7166,-7.345365e-21,5.9604645e-05,-3.420508e+06,-1.332021e+06,-2.8843806,-1.3677654,0.0135451555
6996.4062,281.43896,284.9397,-7.345365e-21,0.00017881393,-4.123472e+06,-2.417255e+06,-3.35237,-1.6488609,0.0004261732
6823.875,284.67023,288.046,-7.345365e-21,-4.6837537e-17,-4.282152e+06,-2.327159e+06,-3.2738745,-1.7123129,0.0
6758.125,282.8539,287.18576,-7.345365e-21,0.007599592,-2.212902e+06,-1.056649e+06,-2.0193048,-0.8848775,0.024229288
6462.9375,276.76767,282.6629,-7.345365e-21,0.08442998,-2.382832e+06,-503234.0,-1.7951615,-0.95282775,0.77581406
5801.875,275.35776,282.46753,-7.345365e-21,0.037640333,-2.830318e+06,-788931.0,-2.7966871,-1.1317656,0.11639595
5002.5625,278.91058,284.12958,-7.345365e-21,-2.3418772e-17,-5.434124e+06,-4.208655e+06,-4.2844114,-2.1729543,0.0
4266.422,281.5426,285.14453,-7.345365e-21,0.0073611736,-1.586968e+06,-789861.0,-1.350455,-0.63458455,0.031807926
3653.375,278.33337,284.7844,-7.345365e-21,2.9802322e-05,-6.731012e+06,-4.291173e+06,-5.7142005,-2.691543,0.0004351138
3159.8281,278.72327,285.70465,-7.345365e-21,0.00035762787,-6.239708e+06,-4.21231e+06,-5.2577033,-2.495085,0.0008523463
2778.7344,279.08963,286.78223,-7.345365e-21,-2.4069295e-17,-2.544284e+06,-1.103769e+06,-2.3703985,-1.017388,0.0
2552.3125,283.01993,285.70233,-7.345365e-21,0.005096197,-1.379846e+06,-733105.0,-1.269877,-0.55176157,0.12237043
2474.0312,283.3551,288.4968,-7.345365e-21,-2.4069295e-17,-5.22739e+06,-3.700535e+06,-4.207775,-2.0902874,0.0004261732
2430.4062,282.32526,289.2732,-7.345365e-21,0.0002682209,-4.344066e+06,-1.948137e+06,-3.701251,-1.7370712,0.0008702277
2388.2188,287.71487,287.9301,-7.345365e-21,0.38415194,-2.109318e+06,-622902.0,-0.8778125,-0.8434569,12.482132
2366.3281,289.53052,290.11145,-7.345365e-21,0.004827976,-4.729582e+06,-2.349114e+06,-2.9096491,-1.8912283,0.09738654
2356.1094,289.52557,291.43167,-7.345365e-21,0.0008046627,-5.543738e+06,-2.628681e+06,-3.6565475,-2.2167861,0.16771555
2347.375,291.06168,292.3175,-7.345365e-21,0.24414062,-5.089724e+06,-2.510664e+06,-3.2843277,-2.0352378,1.0789037
2327.8438,288.8598,293.17526,-7.345365e-21,0.0013411045,-5.02803e+06,-1.364236e+06,-3.3944733,-2.010569,0.6393224
2291.4062,290.47327,291.7635,-7.345365e-21,0.33009052,-4.251666e+06,-1.24322e+06,-2.6343017,-1.7001228,4.0828166
2244.5781,290.8438,293.05774,-7.345365e-21,0.16662478,-4.823916e+06,-1.283967e+06,-3.273733,-1.9289497,0.9331107
