runoffs,d2m,skt,sde,src,slhf,str,pev,e,tp
5912.4844,277.90778,282.19714,-7.345365e-21,0.00017881393,-5.888772e+06,-4.70783e+06,-4.2551646,-2.3547559,0.0004261732
5797.1016,278.73053,282.62042,-7.345365e-21,-4.7704902e-17,-5.735414e+06,-4.604144e+06,-4.0158257,-2.2934313,0.0
5531.3516,281.96808,284.54413,-7.345365e-21,0.0005364418,-5.561686e+06,-4.33041e+06,-3.988199,-2.223963,0.0025734608
4971.6484,287.13782,289.55182,-7.345365e-21,0.005930662,-3.301942e+06,-1.70649e+06,-2.6262813,-1.3203547,0.023120642
4412.297,290.97754,291.09167,-7.345365e-21,0.050008297,-2.116572e+06,-899086.0,-1.6005188,-0.846358,0.3214836
4103.828,288.8899,290.6043,-7.345365e-21,0.21991134,-3.777488e+06,-1.697765e+06,-2.4385452,-1.5105116,0.7092656
4026.336,280.57086,285.63416,-7.345365e-21,0.01257658,-1.97588e+06,-647209.0,-1.6001575,-0.79009867,0.194633
3919.375,280.71112,284.24377,-7.345365e-21,0.00017881393,-5.62556e+06,-4.043825e+06,-4.4146404,-2.2495043,0.0004351138
4016.7812,281.38867,285.70575,-7.345365e-21,-4.2934413e-17,-5.334706e+06,-3.488076e+06,-4.136484,-2.1332,0.0
4468.75,280.72052,285.18356,-7.345365e-21,0.063836575,-3.239108e+06,-1.893117e+06,-2.7496293,-1.2952285,0.22220224
6524.0938,283.95544,284.55487,-7.345365e-21,0.43568015,-2.212086e+06,-1.031508e+06,-0.99653006,-0.8845515,3.3982694
9307.141,283.8976,284.31573,-7.345365e-21,0.43439865,-1.292634e+06,-875597.0,-0.5168878,-0.5168878,25.277689
9965.203,281.57507,284.52478,-7.345365e-21,0.00017881393,-4.707582e+06,-2.448408e+06,-3.0654483,-1.8824302,0.002837181
9223.328,280.56146,282.16248,-7.345365e-21,0.00062584877,-5.826772e+06,-4.864477e+06,-3.7563853,-2.3299637,0.0004276632
8461.875,279.79114,281.41806,-7.345365e-21,0.00032782555,-5.758124e+06,-5.008315e+06,-3.5771766,-2.3025117,0.0004351138
8319.5625,282.33194,284.3321,-7.345365e-21,-4.7704902e-17,-5.884766e+06,-4.621363e+06,-3.7243404,-2.3531532,0.0
8299.031,280.63913,283.23273,-7.345365e-21,-4.5536498e-17,-6.321526e+06,-4.430007e+06,-4.2548103,-2.5278013,0.0
8013.2188,280.99707,284.8494,-7.345365e-21,-4.5536498e-17,-6.203788e+06,-4.368903e+06,-4.191302,-2.480721,0.0
7246.6406,278.97058,282.93103,-7.345365e-21,5.9604645e-05,-6.264452e+06,-4.546149e+06,-4.1222124,-2.5049794,0.00042914826
6519.9062,282.9394,285.80225,-7.345365e-21,-4.7704902e-17,-6.05102e+06,-4.402539e+06,-3.7686825,-2.4196339,0.0004261732
6324.1875,284.71347,287.1017,-7.345365e-21,-3.6862877e-17,-5.94387e+06,-3.618109e+06,-3.9019883,-2.3767874,0.0022798777
6369.8438,280.09387,285.07996,-7.345365e-21,0.00032782555,-7.020476e+06,-4.875323e+06,-4.8069434,-2.8072913,0.00085234636
6189.3438,281.34662,286.7328,-7.345365e-21,-4.6837537e-17,-6.844564e+06,-4.780579e+06,-5.039554,-2.7369504,0.0
5916.8438,287.5056,289.67285,-7.345365e-21,0.03990531,-3.191978e+06,-1.31993e+06,-2.6565306,-1.2763822,0.35211444
5477.547,287.66205,290.31964,-7.345365e-21,0.001013279,-4.77749e+06,-2.369385e+06,-3.2777042,-1.9103848,0.033713877
5089.7656,288.5708,289.92664,-7.345365e-21,0.02682209,-4.27391e+06,-2.346328e+06,-2.936732,-1.7090169,0.4204288
6253.5312,288.65338,290.58395,-7.345365e-21,0.026285648,-3.810928e+06,-2.174513e+06,-2.472572,-1.523884,0.70236176
11147.734,286.61774,290.65173,-7.345365e-21,0.004798174,-3.60236e+06,-1.4265e+06,-3.0780582,-1.4404831,0.14209747
15685.594,285.8692,289.47446,-7.345365e-21,0.021219254,-3.096514e+06,-1.336881e+06,-2.5463588,-1.2382092,0.120419264
15387.266,279.54446,284.96426,-7.345365e-21,0.0071823597,-2.934162e+06,-1.411389e+06,-2.547033,-1.1732895,0.027999282
13499.875,280.65674,285.22443,-7.345365e-21,-4.8138583e-17,-4.160848e+06,-2.694571e+06,-3.3683143,-1.663806,0.013455749
12400.422,282.82373,285.14868,-7.345365e-21,0.00017881393,-3.591086e+06,-2.387504e+06,-2.9598923,-1.4359746,0.0004261732
11671.609,284.66827,289.08115,-7.345365e-21,-4.6837537e-17,-5.079076e+06,-3.226458e+06,-3.7590191,-2.0309799,0.0
10617.719,285.0004,288.68185,-7.345365e-21,0.00047683716,-3.503052e+06,-2.037903e+06,-2.7530155,-1.4007725,0.0019818544
9558.859,279.81064,283.46954,-7.345365e-21,0.22393465,-1.827934e+06,-757010.0,-1.586724,-0.7309392,0.83360076
8371.047,276.2308,283.65308,-7.345365e-21,0.023812056,-3.470322e+06,-1.270507e+06,-2.8456078,-1.3876846,0.09677112
7097.7344,280.2563,284.18622,-7.345365e-21,-2.3418772e-17,-5.646836e+06,-4.421714e+06,-4.24058,-2.258012,0.0
5956.0312,281.6637,285.4297,-7.345365e-21,0.00885129,-1.751464e+06,-943255.0,-1.3850778,-0.7003611,0.06149104
5017.953,279.67126,284.23557,-7.345365e-21,2.9802322e-05,-6.513934e+06,-4.655593e+06,-5.3833647,-2.6047397,0.0004351138
4272.0938,279.07288,284.32184,-7.345365e-21,0.0003874302,-6.270408e+06,-4.672315e+06,-4.9970226,-2.5073607,0.0008523463
3689.5938,280.41385,287.3955,-7.345365e-21,0.004798174,-4.360244e+06,-2.514379e+06,-3.5872347,-1.7435402,0.011175871
3283.6562,282.16055,286.34686,-7.345365e-21,0.0008046627,-1.588458e+06,-917801.0,-1.5768483,-0.6351802,0.00530691
3112.25,282.1637,288.196,-7.345365e-21,-2.4069295e-17,-5.618686e+06,-4.176295e+06,-4.2862372,-2.2467542,0.0004261732
3084.3594,281.30768,288.6521,-7.345365e-21,0.0002682209,-6.348844e+06,-3.519978e+06,-5.3755455,-2.538725,0.0008702277
3070.0781,288.40628,288.81293,-7.345365e-21,0.3912449,-2.270004e+06,-886522.0,-1.5379637,-0.9077117,3.9445412
3065.3125,290.53638,290.18567,-7.345365e-21,0.06866455,-3.250628e+06,-1.683418e+06,-1.9567833,-1.2998348,0.34855306
3043.0938,288.9494,290.2676,-7.345365e-21,0.0009536743,-5.330652e+06,-2.828052e+06,-3.5105646,-2.1315784,0.21124184
2978.2969,290.55777,292.1222,-7.345365e-21,0.23534894,-4.810992e+06,-2.574291e+06,-3.2246857,-1.9237809,0.7225722
2885.125,288.39105,292.48776,-7.345365e-21,0.0028908253,-4.139038e+06,-1.182298e+06,-3.0376613,-1.655085,0.35474002
2789.8281,289.1471,291.28107,-7.345365e-21,0.16471744,-3.95571e+06,-1.025129e+06,-2.8974228,-1.5817778,1.5957981
2701.3906,290.5528,292.81555,-7.345365e-21,0.03260374,-3.33992e+06,-1.377123e+06,-2.8772354,-1.3355408,0.30489266
2640.6875,292.4378,292.9806,-7.345365e-21,0.38990378,-4.647078e+06,-1.667418e+06,-2.8752313,-1.8582363,4.9642115
2703.9219,292.75067,293.04816,-7.345365e-21,0.38990378,-3.053622e+06,-783264.0,-1.6866661,-1.221058,13.547078
3118.4062,292.88007,293.186,-7.345365e-21,0.3375113,-4.527782e+06,-1.633636e+06,-2.4702623,-1.810533,3.2310934
3578.5625,292.41235,294.06885,-7.345365e-21,0.038564205,-5.795264e+06,-2.034527e+06,-3.3421144,-2.317364,1.7556608
3816.375,292.40448,295.02783,-7.345365e-21,0.02002716,-7.01852e+06,-2.274611e+06,-4.952997,-2.8065102,0.6032944
3979.9062,291.85254,295.29742,-7.345365e-21,0.0024437904,-6.953089e+06,-2.348211e+06,-4.8213043,-2.7803452,0.656724
4007.25,291.83142,295.54703,-7.345365e-21,0.0024437904,-7.037346e+06,-1.890611e+06,-5.402107,-2.8140378,0.47091246
3837.1719,293.1247,294.97754,-7.345365e-21,0.37690997,-6.35664e+06,-1.693459e+06,-4.39946,-2.541843,2.2133217
3540.8281,281.118,286.8359,-7.345365e-21,0.00423193,-3.920738e+06,-1.281781e+06,-2.8301404,-1.5677935,0.04196912
3252.6094,289.46335,290.40845,-7.345365e-21,0.38990378,-3.628568e+06,-888636.0,-2.3890362,-1.4509633,1.5047342
2991.5312,286.15363,287.71417,-7.345365e-21,0.37005544,-2.014496e+06,-401577.0,-0.8184649,-0.8055409,4.974636
2771.3438,285.89117,286.79193,-7.345365e-21,0.38990378,-2.846544e+06,-463959.0,-1.2514069,-1.1382531,3.1022162
2607.5469,287.39807,287.98633,-7.345365e-21,0.38990378,-1.508728e+06,-283522.0,-0.6033033,-0.60329866,5.6249948
2503.9062,284.7775,285.79245,-7.345365e-21,0.38990378,-2.31888e+06,-560947.0,-0.9918921,-0.92725456,2.145815
2457.4375,286.65045,288.22473,-7.345365e-21,0.052928925,-2.550724e+06,-701065.0,-1.5941262,-1.019963,0.2400577
2454.9531,290.96765,291.4061,-7.345365e-21,0.07870793,-1.830856e+06,-544658.0,-1.09303,-0.73210895,0.4569441
2468.8438,289.47607,291.49304,-7.345365e-21,0.10856986,-2.815456e+06,-685704.0,-1.7276294,-1.1258218,0.7138103
2645.8438,285.29663,287.97876,-7.345365e-21,0.12627244,-3.043034e+06,-705679.0,-2.0811446,-1.2168242,0.6856054
3514.0781,285.95026,286.72015,-7.345365e-21,0.38990378,-2.075408e+06,-531171.0,-0.9161346,-0.82989687,5.668312
4605.375,285.75952,287.463,-7.345365e-21,0.22649765,-2.76529e+06,-686364.0,-1.2666881,-1.1057621,4.748483
4984.4844,289.5736,290.22214,-7.345365e-21,0.3234148,-2.490092e+06,-465115.0,-1.3843253,-0.99571794,1.5873387
5091.6875,292.49692,293.13873,-7.345365e-21,0.0256598,-2.84789e+06,-629256.0,-1.6907007,-1.1387924,1.0878549
5026.625,294.33423,294.47076,-7.345365e-21,0.36597252,-2.776206e+06,-605833.0,-1.4674813,-1.1101272,1.7842577
4606.4062,293.4803,295.3932,-7.345365e-21,0.07763505,-5.188432e+06,-1.136246e+06,-2.9962473,-2.0747082,0.93532205
4150.0625,293.2995,295.82898,-7.345365e-21,0.011265278,-7.217352e+06,-1.450619e+06,-4.9600306,-2.8860178,0.45375526
3929.8438,293.90277,296.72546,-7.345365e-21,0.00086426735,-8.4581e+06,-1.80755e+06,-5.776465,-3.3821576,0.098502636
4009.8438,293.86896,297.3977,-7.345365e-21,0.00020861626,-6.873956e+06,-1.437139e+06,-4.4459553,-2.7487028,0.23521483
4400.9375,294.3588,297.53546,-7.345365e-21,0.00086426735,-7.100832e+06,-1.641234e+06,-4.333459,-2.8394246,0.12733936
6360.3125,289.74228,293.29474,-7.345365e-21,0.0070035458,-3.955066e+06,-1.039424e+06,-2.64195,-1.5815208,0.111311674
11420.344,292.08914,294.44,-7.345365e-21,0.04580617,-3.810602e+06,-818912.0,-2.172176,-1.5237527,0.62696934
16189.031,291.12695,293.64996,-7.345365e-21,0.018239021,-5.88199e+06,-1.542844e+06,-3.3943095,-2.3520432,1.9678473
19284.406,288.36157,291.4883,-7.345365e-21,0.06613135,-4.749227e+06,-1.24272e+06,-3.25273,-1.8990831,0.7481158
19529.469,288.03925,292.5151,-7.345365e-21,0.00011920929,-6.128462e+06,-1.525784e+06,-3.7982204,-2.4506006,0.60626864
17528.812,288.76315,291.7425,-7.345365e-21,0.0004172325,-4.114073e+06,-1.228301e+06,-2.7642548,-1.6451021,0.19518286
